Location,Distance,Payload Size,Throughput,Latency,Efficiency,Latency_to_Throughput
ECE Parking Lot,250,4,16.25,0.246,4.0625,0.015138461538461538
ECE Parking Lot,250,16,47.727,0.375,2.9829375,0.007857187755358602
ECE Parking Lot,250,32,101.77,0.314,3.1803125,0.003085388621401199
ECE Parking Lot,250,48,135.127,0.355,2.8151458333333337,0.002627158154920926
ECE Parking Lot,250,64,163.56,0.391,2.555625,0.0023905600391293715
ECE Parking Lot,250,80,185.117,0.432,2.3139624999999997,0.002333659253337079
ECE Parking Lot,250,96,205.143,0.468,2.13690625,0.002281335458680043
ECE Parking Lot,250,112,222.507,0.503,1.9866696428571429,0.0022606030372078183
ECE Parking Lot,250,128,209.35,0.634,1.635546875,0.003028421304036303
Werblin Bus Stop,850,4,16.217,0.247,4.05425,0.015230930505025591
Werblin Bus Stop,850,16,57.503,0.278,3.5939375,0.004834530372328401
Werblin Bus Stop,850,32,80.447,0.493,2.51396875,0.006128258356433428
Werblin Bus Stop,850,48,135.15,0.355,2.8156250000000003,0.0026267110617832034
Werblin Bus Stop,850,64,163.617,0.391,2.556515625,0.0023897272288331897
Werblin Bus Stop,850,80,185.077,0.432,2.3134625,0.002334163618385861
Werblin Bus Stop,850,96,205.1,0.468,2.136458333333333,0.0022818137493905415
Werblin Bus Stop,850,112,222.53,0.503,1.986875,0.00226036938839707
Werblin Bus Stop,850,128,235.52,0.543,1.84,0.0023055366847826086
Athletic Parking Lot,1700,4,16.26,0.246,4.065,0.015129151291512913
Athletic Parking Lot,1700,16,57.47,0.278,3.591875,0.0048373064207412565
Athletic Parking Lot,1700,32,101.89,0.314,3.1840625,0.003081754833644126
Athletic Parking Lot,1700,48,118.08,0.427,2.46,0.0036161924119241192
Athletic Parking Lot,1700,64,132.863,0.558,2.075984375,0.004199814846872343
Athletic Parking Lot,1700,80,185.21,0.432,2.315125,0.0023324874466821447
Athletic Parking Lot,1700,96,205.07,0.468,2.1361458333333334,0.0022821475593699713
Athletic Parking Lot,1700,112,222.577,0.503,1.9872946428571427,0.002259892082290623
Athletic Parking Lot,1700,128,235.597,0.543,1.8406015625,0.0023047831678671632
SHI STADIUM,3000,4,14.313,0.292,3.57825,0.020401034025012223
SHI STADIUM,3000,16,48.563,0.358,3.0351875,0.0073718674711199875
SHI STADIUM,3000,32,101.903,0.314,3.18446875,0.00308136168709459
SHI STADIUM,3000,48,116.607,0.438,2.4293125,0.003756206745735676
SHI STADIUM,3000,64,163.587,0.391,2.556046875,0.0023901654776968834
SHI STADIUM,3000,80,185.033,0.432,2.3129125,0.002334718671804489
SHI STADIUM,3000,96,205.097,0.468,2.1364270833333334,0.002281847125994042
SHI STADIUM,3000,112,198.71,0.583,1.7741964285714287,0.0029339238085652457
SHI STADIUM,3000,128,235.57,0.543,1.840390625,0.0023050473320032263
